category_code,model,origin_date,horizon,actual,predicted
M01AB,xgboost,2017-06-30,1,159.67,147.34853
M01AB,xgboost,2017-06-30,3,138.33,170.8425
M01AB,xgboost,2017-07-31,1,170.14999999999998,143.8269
M01AB,xgboost,2017-07-31,3,137.64,165.30907
M01AB,xgboost,2017-08-31,1,138.33,162.46404
M01AB,xgboost,2017-08-31,3,163.85000000000005,171.55768
M01AB,xgboost,2017-09-30,1,137.64,169.13042
M01AB,xgboost,2017-09-30,3,160.01000000000002,169.52043
M01AB,xgboost,2017-10-31,1,163.85000000000005,168.25363
M01AB,xgboost,2017-10-31,3,132.28,144.09534
M01AB,xgboost,2017-11-30,1,160.01000000000002,147.45409
M01AB,xgboost,2017-11-30,3,128.36,151.89096
M01AB,xgboost,2017-12-31,1,132.28,138.29478
M01AB,xgboost,2017-12-31,3,146.16,166.16597
M01AB,xgboost,2018-01-31,1,128.36,138.77354
M01AB,xgboost,2018-01-31,3,170.02000000000007,170.33571
M01AB,xgboost,2018-02-28,1,146.16,149.64595
M01AB,xgboost,2018-02-28,3,160.52000000000004,146.31796
M01AB,xgboost,2018-03-31,1,170.02000000000007,160.03569
M01AB,xgboost,2018-03-31,3,141.18,151.44804
M01AB,xgboost,2018-04-30,1,160.52000000000004,155.08205
M01AB,xgboost,2018-04-30,3,150.18,167.34001
M01AB,xgboost,2018-05-31,1,141.18,139.54155
M01AB,xgboost,2018-05-31,3,140.00000000000003,165.40393
M01AB,xgboost,2018-06-30,1,150.18,163.00488
M01AB,xgboost,2018-06-30,3,153.52,171.76695
M01AB,xgboost,2018-07-31,1,140.00000000000003,162.63814
M01AB,xgboost,2018-07-31,3,144.71000000000004,163.24582
M01AB,xgboost,2018-08-31,1,153.52,145.1976
M01AB,xgboost,2018-08-31,3,172.29000000000005,151.14952
M01AB,xgboost,2018-09-30,1,144.71000000000004,164.8121
M01AB,xgboost,2018-09-30,3,147.71000000000004,169.3849
M01AB,xgboost,2018-10-31,1,172.29000000000005,152.76666
M01AB,xgboost,2018-10-31,3,179.70000000000007,185.8309
M01AB,xgboost,2018-11-30,1,147.71000000000004,164.36925
M01AB,xgboost,2018-11-30,3,133.73000000000002,163.45467
M01AB,xgboost,2018-12-31,1,179.70000000000007,140.1483
M01AB,xgboost,2018-12-31,3,154.52000000000004,161.11673
M01AB,xgboost,2019-01-31,1,133.73000000000002,154.50883
M01AB,xgboost,2019-01-31,3,161.39000000000004,155.59563
M01AB,xgboost,2019-02-28,1,154.52000000000004,169.12659
M01AB,xgboost,2019-02-28,3,168.04000000000005,173.84991
M01AB,xgboost,2019-03-31,1,161.39000000000004,141.34518
M01AB,xgboost,2019-03-31,3,151.5400000000001,140.57457
M01AB,xgboost,2019-04-30,1,168.04000000000005,158.61885
M01AB,xgboost,2019-04-30,3,181.0,167.97865
M01AB,xgboost,2019-05-31,1,151.5400000000001,140.00417
M01AB,xgboost,2019-05-31,3,181.91000000000008,160.25252
M01AE,xgboost,2017-06-30,1,116.20600000000005,123.4681
M01AE,xgboost,2017-06-30,3,118.71100000000004,137.63539
M01AE,xgboost,2017-07-31,1,112.47,127.704506
M01AE,xgboost,2017-07-31,3,88.737,128.09175
M01AE,xgboost,2017-08-31,1,118.71100000000004,142.71468
M01AE,xgboost,2017-08-31,3,119.78000000000004,132.89883
M01AE,xgboost,2017-09-30,1,88.737,144.24107
M01AE,xgboost,2017-09-30,3,121.66300000000004,131.00684
M01AE,xgboost,2017-10-31,1,119.78000000000004,125.34948
M01AE,xgboost,2017-10-31,3,109.44599999999998,136.13594
M01AE,xgboost,2017-11-30,1,121.66300000000004,114.70381
M01AE,xgboost,2017-11-30,3,132.80400000000014,124.392006
M01AE,xgboost,2017-12-31,1,109.44599999999998,122.339
M01AE,xgboost,2017-12-31,3,111.764,122.15841
M01AE,xgboost,2018-01-31,1,132.80400000000014,124.07261
M01AE,xgboost,2018-01-31,3,107.723,114.17968
M01AE,xgboost,2018-02-28,1,111.764,112.65979
M01AE,xgboost,2018-02-28,3,103.522,157.1279
M01AE,xgboost,2018-03-31,1,107.723,117.13589
M01AE,xgboost,2018-03-31,3,114.22600000000004,126.41386
M01AE,xgboost,2018-04-30,1,103.522,114.40338
M01AE,xgboost,2018-04-30,3,132.54900000000006,133.67029
M01AE,xgboost,2018-05-31,1,114.22600000000004,109.87585
M01AE,xgboost,2018-05-31,3,114.71900000000004,129.4473
M01AE,xgboost,2018-06-30,1,132.54900000000006,115.000206
M01AE,xgboost,2018-06-30,3,114.99200000000008,123.74835
M01AE,xgboost,2018-07-31,1,114.71900000000004,115.09439
M01AE,xgboost,2018-07-31,3,129.4000000000001,128.38734
M01AE,xgboost,2018-08-31,1,114.99200000000008,122.31076
M01AE,xgboost,2018-08-31,3,105.48700000000004,125.88674
M01AE,xgboost,2018-09-30,1,129.4000000000001,123.68444
M01AE,xgboost,2018-09-30,3,113.02400000000011,126.473755
M01AE,xgboost,2018-10-31,1,105.48700000000004,119.7362
M01AE,xgboost,2018-10-31,3,222.35100000000017,135.54973
M01AE,xgboost,2018-11-30,1,113.02400000000011,118.31356
M01AE,xgboost,2018-11-30,3,142.15500000000014,133.62186
M01AE,xgboost,2018-12-31,1,222.35100000000017,120.54029
M01AE,xgboost,2018-12-31,3,113.11800000000004,129.58774
M01AE,xgboost,2019-01-31,1,142.15500000000014,122.48894
M01AE,xgboost,2019-01-31,3,100.16500000000003,120.25846
M01AE,xgboost,2019-02-28,1,113.11800000000004,117.54579
M01AE,xgboost,2019-02-28,3,97.25800000000004,118.3489
M01AE,xgboost,2019-03-31,1,100.16500000000003,120.84269
M01AE,xgboost,2019-03-31,3,101.62700000000004,117.70497
M01AE,xgboost,2019-04-30,1,97.25800000000004,132.34497
M01AE,xgboost,2019-04-30,3,103.54100000000004,124.6282
