sale_date,category_code,units_sold,granularity
2014-01-31,M01AB,127.69,monthly
2014-02-28,M01AB,133.32,monthly
2014-03-31,M01AB,137.44000000000003,monthly
2014-04-30,M01AB,113.10000000000004,monthly
2014-05-31,M01AB,101.79000000000003,monthly
2014-06-30,M01AB,112.07000000000002,monthly
2014-07-31,M01AB,117.06000000000002,monthly
2014-08-31,M01AB,134.79000000000005,monthly
2014-09-30,M01AB,108.78000000000004,monthly
2014-10-31,M01AB,154.75000000000003,monthly
2014-11-30,M01AB,138.08000000000004,monthly
2014-12-31,M01AB,131.90000000000003,monthly
2015-01-31,M01AB,135.91000000000005,monthly
2015-02-28,M01AB,115.71,monthly
2015-03-31,M01AB,156.04000000000005,monthly
2015-04-30,M01AB,154.5,monthly
2015-05-31,M01AB,160.02,monthly
2015-06-30,M01AB,151.87000000000003,monthly
2015-07-31,M01AB,175.61000000000004,monthly
2015-08-31,M01AB,181.69000000000003,monthly
2015-09-30,M01AB,166.22000000000008,monthly
2015-10-31,M01AB,195.81000000000017,monthly
2015-11-30,M01AB,152.78000000000006,monthly
2015-12-31,M01AB,159.46000000000004,monthly
2016-01-31,M01AB,171.65000000000006,monthly
2016-02-29,M01AB,173.81000000000003,monthly
2016-03-31,M01AB,156.64000000000004,monthly
2016-04-30,M01AB,166.6100000000001,monthly
2016-05-31,M01AB,167.36000000000007,monthly
2016-06-30,M01AB,169.67000000000002,monthly
2016-07-31,M01AB,203.97000000000017,monthly
2016-08-31,M01AB,211.13000000000017,monthly
2016-09-30,M01AB,172.96000000000004,monthly
2016-10-31,M01AB,186.7600000000001,monthly
2016-11-30,M01AB,175.18000000000012,monthly
2016-12-31,M01AB,169.32000000000002,monthly
2017-01-31,M01AB,181.902083334,monthly
2017-02-28,M01AB,139.69000000000003,monthly
2017-03-31,M01AB,162.85000000000002,monthly
2017-04-30,M01AB,155.61000000000004,monthly
2017-05-31,M01AB,143.66,monthly
2017-06-30,M01AB,122.33,monthly
2017-07-31,M01AB,159.67,monthly
2017-08-31,M01AB,170.14999999999998,monthly
2017-09-30,M01AB,138.33,monthly
2017-10-31,M01AB,137.64,monthly
2017-11-30,M01AB,163.85000000000005,monthly
2017-12-31,M01AB,160.01000000000002,monthly
2018-01-31,M01AB,132.28,monthly
2018-02-28,M01AB,128.36,monthly
2018-03-31,M01AB,146.16,monthly
2018-04-30,M01AB,170.02000000000007,monthly
2018-05-31,M01AB,160.52000000000004,monthly
2018-06-30,M01AB,141.18,monthly
2018-07-31,M01AB,150.18,monthly
2018-08-31,M01AB,140.00000000000003,monthly
2018-09-30,M01AB,153.52,monthly
2018-10-31,M01AB,144.71000000000004,monthly
2018-11-30,M01AB,172.29000000000005,monthly
2018-12-31,M01AB,147.71000000000004,monthly
2019-01-31,M01AB,179.70000000000007,monthly
2019-02-28,M01AB,133.73000000000002,monthly
2019-03-31,M01AB,154.52000000000004,monthly
2019-04-30,M01AB,161.39000000000004,monthly
2019-05-31,M01AB,168.04000000000005,monthly
2019-06-30,M01AB,151.5400000000001,monthly
2019-07-31,M01AB,181.0,monthly
2019-08-31,M01AB,181.91000000000008,monthly
2019-09-30,M01AB,161.07000000000005,monthly
2019-10-31,M01AB,44.370000000000005,monthly
2014-01-31,M01AE,99.09000000000005,monthly
2014-02-28,M01AE,126.0500000000001,monthly
2014-03-31,M01AE,92.95000000000007,monthly
2014-04-30,M01AE,89.47500000000008,monthly
2014-05-31,M01AE,119.93300000000008,monthly
2014-06-30,M01AE,94.71000000000006,monthly
2014-07-31,M01AE,95.01000000000012,monthly
2014-08-31,M01AE,99.7800000000001,monthly
2014-09-30,M01AE,109.0940000000001,monthly
2014-10-31,M01AE,185.2410000000001,monthly
2014-11-30,M01AE,100.86000000000004,monthly
2014-12-31,M01AE,121.40100000000004,monthly
2015-01-31,M01AE,130.34900000000005,monthly
2015-02-28,M01AE,123.73999999999997,monthly
2015-03-31,M01AE,129.38599999999997,monthly
2015-04-30,M01AE,101.115,monthly
2015-05-31,M01AE,119.11700000000006,monthly
2015-06-30,M01AE,113.69,monthly
2015-07-31,M01AE,113.81000000000002,monthly
2015-08-31,M01AE,144.51900000000003,monthly
2015-09-30,M01AE,134.12200000000004,monthly
2015-10-31,M01AE,127.23099999999998,monthly
2015-11-30,M01AE,128.233,monthly
2015-12-31,M01AE,131.29100000000005,monthly
2016-01-31,M01AE,128.402,monthly
2016-02-29,M01AE,137.528,monthly
2016-03-31,M01AE,180.5890000000001,monthly
2016-04-30,M01AE,146.52600000000007,monthly
2016-05-31,M01AE,120.86099999999996,monthly
2016-06-30,M01AE,114.961,monthly
2016-07-31,M01AE,141.01900000000003,monthly
2016-08-31,M01AE,114.37499999999996,monthly
2016-09-30,M01AE,126.21799999999996,monthly
2016-10-31,M01AE,142.0560000000001,monthly
2016-11-30,M01AE,116.84999999999997,monthly
2016-12-31,M01AE,135.05600000000004,monthly
2017-01-31,M01AE,150.991249999,monthly
2017-02-28,M01AE,103.517,monthly
2017-03-31,M01AE,111.055,monthly
2017-04-30,M01AE,101.21500000000002,monthly
2017-05-31,M01AE,118.12500000000006,monthly
2017-06-30,M01AE,103.006,monthly
2017-07-31,M01AE,116.20600000000005,monthly
2017-08-31,M01AE,112.47,monthly
2017-09-30,M01AE,118.71100000000004,monthly
2017-10-31,M01AE,88.737,monthly
2017-11-30,M01AE,119.78000000000004,monthly
2017-12-31,M01AE,121.66300000000004,monthly
2018-01-31,M01AE,109.44599999999998,monthly
2018-02-28,M01AE,132.80400000000014,monthly
2018-03-31,M01AE,111.764,monthly
2018-04-30,M01AE,107.723,monthly
2018-05-31,M01AE,103.522,monthly
2018-06-30,M01AE,114.22600000000004,monthly
2018-07-31,M01AE,132.54900000000006,monthly
2018-08-31,M01AE,114.71900000000004,monthly
2018-09-30,M01AE,114.99200000000008,monthly
2018-10-31,M01AE,129.4000000000001,monthly
2018-11-30,M01AE,105.48700000000004,monthly
2018-12-31,M01AE,113.02400000000011,monthly
2019-01-31,M01AE,222.35100000000017,monthly
2019-02-28,M01AE,142.15500000000014,monthly
2019-03-31,M01AE,113.11800000000004,monthly
2019-04-30,M01AE,100.16500000000003,monthly
2019-05-31,M01AE,97.25800000000004,monthly
2019-06-30,M01AE,101.62700000000004,monthly
2019-07-31,M01AE,103.54100000000004,monthly
2019-08-31,M01AE,88.26900000000003,monthly
